credit_code,outcredit_code,report_year
320500000005780,91320000670145129u,1
320500000005780,913205067132483646,2
410105000284619,914114225976491941,1
410181200001808,91410181ma40cljr97,1
410881200000547,92231002ma1ammnh3q,1
410881200000547,92520322ma6f659f8j,1
410881200000547,92632126ma75839p8b,1
410881200000547,92652301ma79ry7n0j,1
411302100020686,91411322790646040a,2
411424000014120,91411424341726811b,1
411424000025048,91411424ma3xefqg61,1
411425200001195,91411425ma403yu982,1
411500000008849,91411500783405564q,1
411702000017386,91411702ma40dhch7n,1
500000000003148,915000003316197053,1
500000000003148,915000003395661266,1
500000000003148,91500000ma5u3al86q,1
500000000004614,915209003373514716,1
500000000007938,91500000202852965t,2
500000000007938,915000002028768602,2
500000000007938,915000002029885040,2
500000000007938,915000002029927651,2
500000000007938,91500000621902795r,2
500000000007938,915000006939002708,3
500000000007938,91500000696566837x,2
500000000007938,91500000699250053x,2
500000000007938,91500000756247345f,2
500000000007938,91500000759268213r,2
500000000007938,915001042028861614,2
500000000007938,915001042029842634,2
500000000007938,91500104202986103n,2
500000000007938,91500104202987624f,2
500000000007938,91500104203289780h,2
500000000007938,91500106203051502t,2
500000000007938,91500107753081853w,2
500000000007938,915001132034394510,2
500000000007938,91500115202960325d,2
500000000007938,915001156664186811,2
500000000007938,91500115756234456q,2
500000000007938,9150011620355285x8,2
500000000007938,915002227500929362,2
500000000007938,91500237676124265t,2
500000000010100,91330402ma28a2uf1h,1
500000000010100,9150000005985369xd,1
500000000010100,915000003051656666,1
500000000010100,91500000305165754l,1
500000000010100,91500000305166079m,1
500000000010100,91500000305166140c,1
500000000010100,915000003316370818,1
500000000010100,91500000ma61ntrm59,1
500000000010100,91500227ma5u442254,1
500000000010100,91500227ma5u442e3a,1
500000002207906,91500000ma5u78ml58,1
500000002207906,91500000ma5u78mq6f,1
500000400000234,915000007626522161,1
500000400000234,915001053556936513,1
500000400016534,91310104691628357c,1
500000400096266,91500105083064842q,1
500000403404411,91420103303798072t,1
500101200042834,91500101584272332y,1
500101200056085,92231002ma1ammnh3q,1
500101200056085,92520322ma6f659f8j,1
500101200056085,92632126ma75839p8b,1
500101200056085,92652301ma79ry7n0j,1
500101200070888,91500101592272332l,1
500102000044320,91500102736561361y,2
500102200009165,92231002ma1ammnh3q,1
500102200009165,92520322ma6f659f8j,1
500102200009165,92632126ma75839p8b,1
500102200009165,92652301ma79ry7n0j,1
500102200016994,92231002ma1ammnh3q,1
500102200016994,92520322ma6f659f8j,1
500102200016994,92632126ma75839p8b,1
500102200016994,92652301ma79ry7n0j,1
500102200198439,92231002ma1ammnh3q,1
500102200198439,92520322ma6f659f8j,1
500102200198439,92632126ma75839p8b,1
500102200198439,92652301ma79ry7n0j,1
500103000025500,9150000006619459xb,1
500103000094608,91500000094531397u,1
500103000094608,915000005656048480,1
500103000121166,915001120756516923,1
500103000146876,91500242ma5u5cdx6r,2
500103100014768,915001032028686334,3
